gram_size,복합명사,빈도
2,출신_안무가,141
2,추모_공연,141
2,사회_문제,141
2,여성_몸,141
2,작품_완성,141
3,발레단_수석_무용수,140
2,발전_기여,140
2,댄스_플랫폼,140
2,해외_활동,140
2,현재_미래,139
2,부산_국제,139
2,최승희_무용,139
2,리틀엔젤스_예술단,138
3,축제_예술_감독,138
2,이애주_춤,138
4,국립_무용단_예술_감독,137
3,한국_무용_제전,137
2,청년_예술가,137
2,기획_의도,137
2,저변_확대,136
2,학술_대회,136
2,코로나_팬데믹,136
3,전통_공연_예술,136
2,움직임_조합,136
2,부산_지역,136
2,프로_시니어,135
3,문화_예술_위원회,134
2,대학_무용과,134
2,발레단_수석,134
2,관객_전달,134
2,한국_정서,134
2,예술가_창작,134
2,토_슈즈,133
2,상호_교류,133
2,영역_확장,133
2,발레_협회,133
2,발레_대중,133
2,연출_안무,133
2,무용_전공자,132
2,무대_진출,132
2,작업_방식,132
2,객석_무대,132
2,진도_북춤,131
2,궁중_정재,131
3,국제_현대_무용,131
2,창단_기념,131
2,서울문화재단_대표,131
2,전통_춤판,131
2,한국_본부,130
2,한성주_선생,130
2,개인_정보,130
2,국립국악원_무용단,130
2,시민_참여,130
2,라운드_테이블,129
2,수상_소감,129
2,공연_실황,129
2,한국_전쟁,129
2,협업_작업,129
2,인간_존재,129
2,프로그램_운영,129
3,춘천_아트_페스티벌,128
3,예술_감독_선임,128
2,문_의,128
2,이원국_발레단,128
2,참가_작,128
2,인간_내면,128
2,메리_홀,127
2,아트_컴퍼니,127
2,연결_고리,126
2,접수_기간,126
2,상_수상자,126
3,현대_무용_한국,126
2,즉흥_워크숍,126
2,지원_대상,126
3,지역_문화_예술,125
2,회관_극장,125
2,컨템퍼러리_발레,125
2,영상_제작,125
2,국가_문화,125
2,협약_체결,124
2,민간_발레단,124
2,선정_단체,124
2,춤_종목,124
3,서울_경기_춤,123
2,예술_경영,123
2,기획_제작,123
2,준비_과정,123
2,국립_단체,123
2,서울문화재단_예술,123
3,예술_감독_강수진,122
2,드라마_투르그,122
2,신청_안내,122
2,공모_안내,122
2,사회_이슈,122
2,아르코_극장,122
2,육성_지원,122
2,인간_관계,122
2,메시지_전달,121
2,댄스_컬렉션,121
2,국공립_단체,121
2,감독_강수진,121
2,관객_호응,121
2,대학_교수,121
2,지원_심의,121
2,중요_역할,121
2,동해안_별신굿,120
2,명예_교수,120
2,안무_노트,120
2,공공_지원금,120
2,자신_삶,120
4,서울_국제_안무_페스티벌,119
2,실태_조사,119
2,남자_여자,119
3,한국_현대_춤,119
2,선생_말씀,119
2,순수_무용,119
2,무용_수업,119
2,아동_청소년,118
2,국립_정동극장,118
2,즉흥_아티스트,118
2,서울_시민,118
2,공모_사업,118
2,무용_생태,118
3,서울문화재단_대표_이사,117
2,재_전문무용수지원센터,117
2,사진_영상,117
3,무용수_직업_전환,116
2,무용과_교수,116
2,시각_장애인,116
2,레지던시_프로그램,116
